N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
0441.254.285,JINT Coordinatie Orgaan voor Internationaal Jongeren Werking,1 - Services administratifs,JINT International Jeugdcentrum,"Rue Grétry 26, 1000 Bruxelles",61.82,360.69,D
0418.716.633,Kaaitheater,11 - Théatres et centres culturels,Kaaistudio's nr 81-83,"Rue Notre-Dame du Sommeil 81, 1000 Bruxelles",33.18,194.27,C
0811.322.648,FoCI,11 - Théatres et centres culturels,Kaaitheater,"Quai des Péniches 2, 1000 Bruxelles",32.39,190.82,C
0207.389.859,Commune de Woluwe-Saint-Lambert,2 - Crèches,Kinderdagverblijf Roodebeek,"Chaussée de Roodebeek 322A, 1200 Woluwe-Saint-Lambert",43.58,249.95,C-
0953.449.919,PARLEMENT EUROPEEN,1 - Services administratifs,KOHL,"Square de Meeûs 8, 1050 Ixelles",72.60,439.86,E+
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL De Kollebloem,"Rue Général Fivé 38, 1040 Etterbeek",28.73,171.32,B-
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL Harlekijntje,"Rue Jean Tiebackx 13, 1090 Jette",19.69,116.10,B
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL Scheutje,"Chaussée de Ninove 339, 1070 Anderlecht",21.32,125.87,B
0949.383.342,Commission européenne,1 - Services administratifs,L102,"Rue de la Loi 102, 1040 Bruxelles",37.34,224.64,C+
0949.383.342,Commission européenne,1 - Services administratifs,L130,"Rue de la Loi 130, 1040 Bruxelles",56.28,341.85,D+
0949.383.342,Commission européenne,1 - Services administratifs,L-15,"Rue de la Loi 15, 1040 Bruxelles",46.24,284.07,C-
0949.383.342,Commission européenne,1 - Services administratifs,L-41,"Rue de la Loi 41, 1040 Bruxelles",50.65,311.49,D+
0949.383.342,Commission européenne,1 - Services administratifs,L-56,"Rue de la Loi 56, 1040 Bruxelles",48.14,294.85,C-
0949.383.342,Commission européenne,1 - Services administratifs,L-84-86,"Rue de la Loi 86, 1040 Bruxelles",62.31,379.15,D
0212.346.955,CPAS de Bruxelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",La Maison Heysel,"Rue du Heysel 3, 1020 Bruxelles",39.95,236.29,C+
0212.346.955,CPAS de Bruxelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",La Maison Vesale,"Rue des Alexiens 45, 1000 Bruxelles",32.51,197.74,B-
0212.346.955,CPAS de Bruxelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",La Résidence Les Eglantines,"Rue Saints-Pierre et Paul 15, 1120 Bruxelles",48.15,278.19,C
0212.346.955,CPAS de Bruxelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",La Résidence Sainte-Gertrude,"Rue des Capucins 23A, 1000 Bruxelles",53.91,315.14,C-
0308.356.862,SPF Intérieur,1 - Services administratifs,"Laurentide - Conseil du Contentieux des Etrangers, Rue Gaucheret 92-94","Rue du Progrès 233, 1030 Schaerbeek",69.94,418.01,D-
0207.389.859,Commune de Woluwe-Saint-Lambert,3 - Enseignement du jour OU du soir,Le Bateau - Ecole P Poala - annexe Maternelles,"Chaussée de Roodebeek 268, 1200 Woluwe-Saint-Lambert",25.87,151.53,C-
0425.406.861,Centre culturel de la Communauté francaise - Le Botanique,11 - Théatres et centres culturels,Le Botanique,"Rue Royale 236, 1210 Saint-Josse-ten-Noode",95.04,565.40,G
0212.347.747,CPAS Molenbeek - Saint - Jean,1 - Services administratifs,Le centre,"Rue Alphonse Vandenpeereboom 14, 1080 Molenbeek-Saint-Jean",32.68,195.23,C+
0207.389.859,Commune de Woluwe-Saint-Lambert,3 - Enseignement du jour OU du soir,"L'Ecole Supérieure communale des Arts de l'image ""Le 75""","Avenue Jean-François Debecker 10, 1200 Woluwe-Saint-Lambert",38.70,226.60,D-
0207.365.610,Administration communale d'Etterbeek,3 - Enseignement du jour OU du soir,les Carrefours/Académie ABSIl,"Rue Fétis 29, 1040 Etterbeek",36.23,204.38,D
0207.365.709,Administration Communale d'Evere,2 - Crèches,Les Coquelicots,"Avenue de la Hallebarde 1, 1140 Evere",42.84,247.00,C
0417.507.004,Les Ecoles libres de Saint - Roch enseignement maternel primaire,3 - Enseignement du jour OU du soir,Les Ecoles Libres Saint-Roch,"Avenue de l'Héliport 46, 1000 Bruxelles",35.09,199.08,D
0418.310.916,Les vraies richesses,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Les vraies richesses,"Rue de la Procession 24, 1070 Anderlecht",35.70,206.16,C+
0949.383.342,Commission européenne,1 - Services administratifs,LX40,"Rue du Luxembourg 40, 1000 Bruxelles",40.04,245.33,C
0949.383.342,Commission européenne,1 - Services administratifs,LX46/MO59,"Rue du Luxembourg 46, 1000 Bruxelles",37.82,229.51,C
0424.078.852,LYCEE LA RETRAITE ASBL,3 - Enseignement du jour OU du soir,"Lycée ""La Retraite""","Rue des Confédérés 70, 1000 Bruxelles",22.05,125.49,C+
