N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS De Groene School,"Rue de la Floraison 41, 1070 Anderlecht",15.03,94.14,B-
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Heilig-Hart,"Avenue du Sacré-Coeur 6, 1090 Jette",15.80,93.74,B-
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Heilig-Hartcollege,"Avenue des Gloires Nationales 126, 1083 Ganshoren",27.61,159.01,C-
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Lutgardis,"Rue Général Fivé 84, 1040 Etterbeek",28.29,172.45,D+
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Albert / KOL De Hummeltjes,"Rue Haeck 61, 1080 Molenbeek-Saint-Jean",37.84,216.26,D-
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Guido & VBS Sint-Pieter & Sint-Guido-Instituut,"Rue Docteur Jacobs 49, 1070 Anderlecht",20.51,119.95,C+
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Jozef,"Rue Vandernoot 52, 1080 Molenbeek-Saint-Jean",18.76,107.78,C+
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Lutgardis,"Rue Jean De Greef 3, 1083 Ganshoren",22.76,131.08,C
0414.400.430,Sint-Martinusschool,3 - Enseignement du jour OU du soir,VBS Sint-Martinus,"Rue Paloke 79, 1080 Molenbeek-Saint-Jean",43.76,209.29,D
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Michiels,"Rue Léopold I 362, 1090 Jette",28.36,164.51,C-
0202.962.701,VIVAQUA,1 - Services administratifs,"VIVAQUA		","Boulevard de l'Impératrice 17, 1000 Bruxelles",50.51,306.66,D+
0445.092.616,Vlaams Centrum voor Amateurkunsten,11 - Théatres et centres culturels,Vlaamse Huis voor Amateurkunsten in Brussel vzw - Zinnema,"Rue de Veeweyde 24, 1070 Anderlecht",53.65,314.98,E+
0811.322.648,FoCI,11 - Théatres et centres culturels,Vlaams-Nederlands Huis de Buren,"Rue Léopold 6, 1000 Bruxelles",21.13,122.14,B-
0949.383.342,Commission européenne,1 - Services administratifs,VM18,"Rue Van Maerlant 18, 1040 Bruxelles",62.61,382.00,D-
0949.383.342,Commission européenne,1 - Services administratifs,VM-2,"Rue Van Maerlant 2, 1040 Bruxelles",47.65,286.27,C-
0692.793.497,VUTG,1 - Services administratifs,VUTG,"Rue de Trèves 9, 1000 Bruxelles",79.89,481.18,E
0949.383.342,Commission européenne,2 - Crèches,WALI,"Boulevard Clovis 53, 1000 Bruxelles",33.52,200.25,C+
0308.357.753,Service public fédéral Justice,1 - Services administratifs,Waterside,"Quai de Willebroeck 33, 1000 Bruxelles",41.42,253.43,C
0207.389.859,Commune de Woluwe-Saint-Lambert,1 - Services administratifs,Wolu Techni-Cité (Bureaux),"Chaussée de Stockel 80, 1200 Woluwe-Saint-Lambert",29.99,179.82,B-
0207.389.859,Commune de Woluwe-Saint-Lambert,"13 - Ateliers, centres funéraires, dépôts, ...",Wolu Techni-Cité (Dépôt et ateliers),"Chaussée de Stockel 80, 1200 Woluwe-Saint-Lambert",35.51,209.19,D+
"0308.357.753,0367.303.366,0671.516.647,0865.537.829,0308.357.159,0308.358.050,0208.312.646","Service public fédéral Justice,SPF Sécurité sociale,Service public fédéral Stratégie et appui,SPP Politique scientifique,SPF Finances,SPF Emploi, Travail et Concertation sociale,Régie Des Bâtiments",1 - Services administratifs,WTC 3,"Boulevard Simon Bolivar 30, 1000 Bruxelles",43.19,259.25,C
"0207.365.610,0267.348.826","Administration communale d'Etterbeek,ZPZ 5343",1 - Services administratifs,Zone de Police 5343 - Division Etterbeek,"Avenue d'Auderghem 113, 1040 Etterbeek",50.30,301.79,C-
