N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe,# Catégorie
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Arenberg,"Rue d'Arenberg 5, 1000 Bruxelles",44.66,278.11,C-,1
"0872.234.193,0410.716.014","La Trap',Institut Saint-Stanislas A.S.B.L.",11 - Théatres et centres culturels,Atelier 210 et Institut Saint-Stanislas,"Chaussée Saint-Pierre 210, 1040 Etterbeek",29.73,132.22,B-,11
0207.365.610,Administration communale d'Etterbeek,"13 - Ateliers, centres funéraires, dépôts, ...",Atelier Communal Voiries,"Place du Rinsdelle 24, 1040 Etterbeek",39.81,227.34,D+,13
0206.733.130,Conseil Central de l'Economie,1 - Services administratifs,Av Auderghem 18-20,"Avenue d'Auderghem 18, 1040 Bruxelles",30.21,175.89,B-,1
0458.880.274,Haute Ecole Galilée - HEG,5 - Enseignement supérieur,Avenue d'Auderghem 77,"Avenue d'Auderghem 77, 1040 Etterbeek",29.81,176.64,C-,5
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,11 - Théatres et centres culturels,Avenue des Arts,"Avenue des Arts 16, 1210 Saint-Josse-ten-Noode",41.46,239.88,D+,11
0949.383.342,Commission européenne,1 - Services administratifs,B232,"Rue Breydel 4, 1040 Bruxelles",54.96,337.24,D+,1
0949.383.342,Commission européenne,1 - Services administratifs,B-28,"Rue Belliard 28, 1040 Bruxelles",62.88,394.06,D-,1
0203.201.340,Banque Nationale de Belgique,1 - Services administratifs,Banque Nationale de Belgique,"Boulevard de Berlaimont 3, 1000 Bruxelles",33.79,203.12,C+,1
0203.201.340,Banque Nationale de Belgique,1 - Services administratifs,Banque Nationale de Belgique ,"Boulevard de Berlaimont 14, 1000 Bruxelles",34.6,212.49,C+,1
"0243.405.860,0316.380.841","Institut Belge des postes et télécommunications,Ministère de la Communauté flamande",1 - Services administratifs,Bâtiment Ellips,"Boulevard du Roi Albert II 35, 1030 Schaerbeek",71.31,441.09,E+,1
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Bâtiment Ferraris,"Boulevard du Roi Albert II 20, 1000 Bruxelles",40.48,249.9,C,1
0207.372.637,AC Watermael-Boitsfort,1 - Services administratifs,Bâtiment La Source,"Drève du Duc 2, 1170 Watermael-Boitsfort",46.49,263.1,C,1
0949.383.342,Commission européenne,1 - Services administratifs,BERL,"Rue de la Loi 200, 1040 Bruxelles",68.94,425.5,E+,1
0207.373.429,Ville de Bruxelles,11 - Théatres et centres culturels,Beurs,"Rue Henri Maus 2, 1000 Bruxelles",24.52,145,C+,11
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,"12 - Musées, bibliothèques, médiathèques et services similaires",Bibliothèque communale de Saint-Josse-ten-Noode,"Rue de la Limite 2, 1210 Saint-Josse-ten-Noode",29.74,171.52,C,12
0207.372.637,AC Watermael-Boitsfort,1 - Services administratifs,Bibliothèques / Centre administratif,"Rue des Trois Tilleuls 32, 1170 Watermael-Boitsfort",32.19,182.05,B-,1
0308.357.753,Service public fédéral Justice,1 - Services administratifs,Bordet A,"Boulevard de Waterloo 115, 1000 Bruxelles",40.43,238.42,C,1
0308.357.753,Service public fédéral Justice,1 - Services administratifs,Bordet D,"Rue Evers 2, 1000 Bruxelles",50.72,309.14,D+,1
0949.383.342,Commission européenne,1 - Services administratifs,BRE2,"Avenue d'Auderghem 19, 1040 Bruxelles",46.92,289.18,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,BREY,"Avenue d'Auderghem 45, 1040 Bruxelles",51.99,318.17,D+,1
0214.596.464,bpost,1 - Services administratifs,Bruxelles de Brouckere,"Boulevard Anspach 1, 1000 Bruxelles",63.77,383.61,D-,1
0214.596.464,bpost,1 - Services administratifs,Bruxelles Madou,"Boulevard Bischoffsheim 11, 1000 Bruxelles",45.89,270.26,C-,1
0240.682.635,Commission communautaire flamande,"13 - Ateliers, centres funéraires, dépôts, ...",BTC Loods,"Rue de la Technologie 19, 1082 Berchem-Sainte-Agathe",36.56,213.56,D+,13
0949.383.342,Commission européenne,1 - Services administratifs,BU-1-5-9,"Avenue de Beaulieu 1, 1160 Auderghem",60.03,364.07,D,1
0949.383.342,Commission européenne,1 - Services administratifs,BU24,"Avenue de Beaulieu 24, 1160 Auderghem",48.87,294.85,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,BU25,"Avenue de Beaulieu 25, 1160 Auderghem",47.85,294.43,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,BU29,"Avenue de Beaulieu 29, 1160 Auderghem",52.63,324.34,D+,1
0949.383.342,Commission européenne,1 - Services administratifs,BU31,"Avenue de Beaulieu 31, 1160 Auderghem",40.44,247.53,C,1
0949.383.342,Commission européenne,1 - Services administratifs,BU33,"Avenue de Beaulieu 33, 1160 Auderghem",58.4,361.68,D,1
0949.383.342,Commission européenne,1 - Services administratifs,C-25,"Avenue de Cortenbergh 25, 1040 Bruxelles",48.8,296.86,C-,1
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Campus De Haven,"Rue de Molenbeek 173, 1020 Bruxelles",22.48,129.82,C,3
0439.174.725,Campus Saint-Jean ASBL,3 - Enseignement du jour OU du soir,Campus Saint-Jean (site complet),"Rue de Birmingham 41, 1080 Molenbeek-Saint-Jean",27.53,122.34,C+,3
0478.379.452,SINT-GOEDELE BRUSSEL,4 - Enseignement du jour ET du soir,Campus SPOOR WEST,"Rue Verheyden 39, 1070 Anderlecht",27.16,159.11,C,4
"0861.748.691,0456.686.490","Centre D'Accueil et de Traitement du Solbosch,L'Ambulatoire - Forest","8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",C.A.T.S. - Le Solbosch,"Chaussée d'Alsemberg 204, 1190 Forest",46.66,273.28,C,8
0430.941.504,C.B.B.D. - B.S.C.,"12 - Musées, bibliothèques, médiathèques et services similaires",CBBD-BCB,"Rue des Sables 20, 1000 Bruxelles",33.81,203.99,C-,12
0949.383.342,Commission européenne,1 - Services administratifs,CCAB,"Rue Froissart 36, 1040 Etterbeek",80.4,491.62,E,1
0949.383.342,Commission européenne,1 - Services administratifs,CDMA,"Rue du Champ de Mars 21, 1050 Ixelles",59.29,360.06,D,1
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Centre de jeunesse Alleman,"Avenue de la Sablière 2, 1160 Auderghem",29.37,172.48,C,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Centre de Jeunesse Aximax,"Rue John Waterloo Wilson 19, 1000 Bruxelles",45.46,260.32,D,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Centre de Jeunesse 'Centrum West',"Rue de Menin 24, 1080 Molenbeek-Saint-Jean",33.34,188.24,C,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Centre de jeunesse Vereniging voor Marokkaanse Jongeren,"Rue de la Vermicellerie 10, 1080 Molenbeek-Saint-Jean",38.97,221.86,C-,11
0887.937.406,Centre Hospitalier Valida,6 - Hôpitaux,Centre Hospitalier Valida,"Avenue Josse Goffin 180, 1082 Berchem-Sainte-Agathe",80.59,478.19,D,6
0472.937.059,CHIREC,6 - Hôpitaux,Centre médical Europe-Lambermont,"Rue des Pensées 1, 1030 Schaerbeek",49.19,241.15,C+,6
"0207.373.429,0214.596.464","Ville de Bruxelles,bpost",1 - Services administratifs,Centre Monnaie,"Boulevard Anspach 6, 1000 Bruxelles",57.83,352.22,D,1
0207.365.610,Administration communale d'Etterbeek,1 - Services administratifs,Centre PsychoMedicoSocial PMS,"Rue Fétis 37, 1040 Etterbeek",42.89,242.18,C,1
0416.288.465,Centre Scolaire de Ma Campagne asbl,3 - Enseignement du jour OU du soir,Centre Scolaire de Ma Campagne,"Rue Africaine 36, 1060 Saint-Gilles",14.35,83.09,B,3
0416.288.465,Centre Scolaire de Ma Campagne asbl,3 - Enseignement du jour OU du soir,Centre Scolaire de Ma Campagne,"Rue Africaine 3, 1050 Ixelles",23.47,121.48,C+,3
0416.288.465,Centre Scolaire de Ma Campagne asbl,3 - Enseignement du jour OU du soir,Centre Scolaire de Ma Campagne,"Rue du Page 78, 1050 Ixelles",22.13,126.76,C,3
0414.213.952,Centre scolaire du Sacré-Coeur de Jette ASBL,3 - Enseignement du jour OU du soir,Centre Scolaire du Sacré-Coeur de Jette,"Avenue du Sacré-Coeur 8, 1090 Jette",20.11,109.36,C+,3
0430.786.995,Centre scolaire Maria Assumpta,3 - Enseignement du jour OU du soir,Centre Scolaire Maria Assumpta,"Avenue Wannecouter 115, 1020 Bruxelles",19.85,114.97,C+,3
0414.872.166,Centre d'Enseignement Notre-Dame des Champs asbl,3 - Enseignement du jour OU du soir,Centre Scolaire Notre-Dame des Champs,"Rue Edith Cavell 143, 1180 Uccle",19.25,93.47,B-,3
0406.653.494,Communauté éducative Sainte-Marie de Schaerbeek et Saint-Josse,3 - Enseignement du jour OU du soir,Centre Scolaire Sainte Marie La Sagesse,"Chaussée de Haecht 164, 1030 Schaerbeek",24.95,113.42,C+,3
0949.383.342,Commission européenne,1 - Services administratifs,CHAR,"Rue de la Loi 170, 1040 Bruxelles",51.94,319.43,D+,1
0308.357.852,SPF Mobilité et Transports,1 - Services administratifs,"City Atrium A, B","Rue du Progrès 56, 1210 Saint-Josse-ten-Noode",58.4,358.83,D,1
0314.595.348,"SPF Economie, PME, Classes moyennes et Energie",1 - Services administratifs,City Atrium C,"Rue du Progrès 50, 1210 Saint-Josse-ten-Noode",41.61,254.05,C,1
0215.984.554,Société de Développement pour la Région de Bruxelles-Capitale,1 - Services administratifs,citydev.brussels,"Rue Gabrielle Petit 6, 1080 Molenbeek-Saint-Jean",34.67,204.64,C+,1
0472.937.059,CHIREC,6 - Hôpitaux,Clinique de la Basilique,"Rue Pangaert 37, 1083 Ganshoren",74.8,454.84,D,6
"0476.058.479,0472.937.059","CEBIODI ASBL,CHIREC",6 - Hôpitaux,Clinique Sainte-Anne Saint-Remi,"Boulevard Jules Graindor 66, 1070 Anderlecht",83.55,502.3,D-,6
"0476.058.479,0409.890.128","CEBIODI ASBL,Clinique Saint-Jean",6 - Hôpitaux,Clinique Saint-Jean (Botanique),"Boulevard du Jardin Botanique 32, 1000 Bruxelles",95.46,577.04,E,6
"0409.890.128,0416.862.349,0476.058.479","Clinique Saint-Jean,Clinique Sanatia - Centre médico-social Sanatia,CEBIODI ASBL",6 - Hôpitaux,Clinique Saint-Jean (Méridien),"Rue du Méridien 100, 1210 Saint-Josse-ten-Noode",63.29,368.41,C-,6
0949.383.342,Commission européenne,2 - Crèches,CLOV/WILS,"Boulevard Clovis 75, 1000 Bruxelles",37.32,226.07,C,2
0443.638.012,Maison diocésaine de l'enseignement : CoDiEC Bxl-BW,1 - Services administratifs,Codiec BxL-BW,"Avenue de l'Eglise Saint-Julien 15, 1160 Auderghem",21.72,123.81,B,1
0949.383.342,Commission européenne,2 - Crèches,COLE,"Rue Général Leman 60, 1040 Etterbeek",52.46,310.84,D+,2
0413.553.956,Collège du Sacré-Coeur ASBL,3 - Enseignement du jour OU du soir,Collège du Sacré Coeur de Ganshoren (BCDE),"Rue Louis Delhove 65, 1083 Ganshoren",18.55,105.76,C+,3
0413.553.956,Collège du Sacré-Coeur ASBL,3 - Enseignement du jour OU du soir,Collège du Sacré-Coeur de Ganshoren (F),"Avenue des Gloires Nationales 100, 1083 Ganshoren",22.88,132.93,C,3
0412.732.228,Centre d'Enseignement Catholique Robert et Laure Brunner A.S.B.L.,3 - Enseignement du jour OU du soir,Collège Roi Baudoin ETP et Ecole Louise de Marillac (Site Emeraude),"Avenue Eugène Plasky 184, 1030 Schaerbeek",25.43,145.26,C,3
0412.732.228,Centre d'Enseignement Catholique Robert et Laure Brunner A.S.B.L.,3 - Enseignement du jour OU du soir,Collège Roi Baudoin ETP (Site Diamant),"Avenue de l'Emeraude 7, 1030 Schaerbeek",18.71,106.86,C+,3
0412.732.228,Centre d'Enseignement Catholique Robert et Laure Brunner A.S.B.L.,3 - Enseignement du jour OU du soir,Collège Roi Baudoin ETP (Site Milcamps),"Avenue Milcamps 181, 1030 Schaerbeek",22.6,126.39,C,3
0428.402.181,Collège Saint Vincent - Saint François,3 - Enseignement du jour OU du soir,Collège Saint-François,"Rue des Mérisiers 7, 1050 Ixelles",26.92,121.76,C+,3
0409.817.080,Collège Saint-Hubert - asbl,3 - Enseignement du jour OU du soir,Collège Saint-Hubert,"Avenue Charle-Albert 9, 1170 Watermael-Boitsfort",35.53,207.81,D,3
0412.666.308,Centre scolaire catholique Bruxelles Nord Ouest,3 - Enseignement du jour OU du soir,Collège Saint-Pierre Jette (Batiment A),"Rue Jean-Baptiste Verbeyst 25/A, 1090 Jette",27.87,144.41,C,3
0412.666.308,Centre scolaire catholique Bruxelles Nord Ouest,3 - Enseignement du jour OU du soir,Collège Saint-Pierre Jette (Batiments B-C),"Rue Jean-Baptiste Verbeyst 25/B, 1090 Jette",14.19,74.18,B,3
0412.666.308,Centre scolaire catholique Bruxelles Nord Ouest,3 - Enseignement du jour OU du soir,Collège Saint-Pierre Jette (fondamental/écran),"Rue Léon Theodor 153, 1090 Jette",27.42,143.84,C,3
0412.666.308,Centre scolaire catholique Bruxelles Nord Ouest,3 - Enseignement du jour OU du soir,Collège Saint-Pierre Jette (piscine/gym),"Boulevard de Smet de Naeyer 229, 1090 Jette",143.16,718.48,G,3
0428.402.181,Collège Saint Vincent - Saint François,3 - Enseignement du jour OU du soir,Collège St-Vincent (Rue Gachard),"Rue Gachard 36, 1050 Ixelles",22.06,125.12,C+,3
0428.402.181,Collège Saint Vincent - Saint François,3 - Enseignement du jour OU du soir,Collège St-Vincent (Vleurgat),"Chaussée de Vleurgat 55, 1050 Ixelles",18.35,103.08,B-,3
0408.142.643,Comité Scolaire Saint-Denis à Forest,3 - Enseignement du jour OU du soir,Comité Scolaire Saint-Denis,"Chaussée de Bruxelles 217, 1190 Forest",18.24,103.51,B-,3
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,1 - Services administratifs,Commissariat de police,"Rue de Bériot 2, 1210 Saint-Josse-ten-Noode",33.07,194.39,C+,1
0240.682.437,Commission communautaire française,1 - Services administratifs,Commission communautaire française,"Rue du Meiboom 14, 1000 Bruxelles",44.44,258.39,C,1
0240.682.437,Commission communautaire française,1 - Services administratifs,Commission communautaire française,"Rue des Palais 42, 1030 Schaerbeek",33.75,201.77,C+,1
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Complexe Place des Martyrs Nord,"Rue aux Choux 35, 1000 Bruxelles",36.83,220.75,C+,1
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Complexe Place des Martyrs Sud,"Place des Martyrs 7, 1000 Bruxelles",34.73,209.62,C+,1
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Conscience,"Boulevard du Roi Albert II 15, 1210 Saint-Josse-ten-Noode",35.64,218.14,C+,1
"0206.733.229,0206.733.130","Conseil national du Travail,Conseil Central de l'Economie",1 - Services administratifs,Conseil Central de l'Economie,"Avenue de la Joyeuse Entrée 17, 1040 Bruxelles",16.38,97.21,B+,1
0253.777.437,Conseil economique et Social de la Région de Bruxelles-Capitale,1 - Services administratifs,Conseil Economique et Social de la Région Bruxelles-Capital,"Boulevard Bischoffsheim 26, 1000 Bruxelles",32.46,190.04,B-,1
0949.383.342,Commission européenne,1 - Services administratifs,COVE/COV2,"Place Charles Rogier 16, 1210 Saint-Josse-ten-Noode",54.89,334.35,D+,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,2 - Crèches,Crèche communale Reine Elisabeth,"Rue de l'Abondance 17, 1210 Saint-Josse-ten-Noode",63.64,362.95,D-,2
0207.372.637,AC Watermael-Boitsfort,2 - Crèches,Crèche Gilson,"Chaussée de La Hulpe 342, 1170 Watermael-Boitsfort",62.3,350.16,D,2
0203.389.204,Société Coopérative Intercommunale de Crémation,"13 - Ateliers, centres funéraires, dépôts, ...",Crematorium Intercommunal de Bruxelles,"Avenue du Silence 61, 1180 Uccle",146.46,886.2,G,13
0548.895.779,Centre interfédéral pour l'égalité des chances et la lutte contre le racisme et les discriminations,1 - Services administratifs,Crown Center,"Rue Royale 138, 1000 Bruxelles",28.11,152.14,B,1
0949.383.342,Commission européenne,1 - Services administratifs,CSM1,"Rue Père de Deken 23, 1040 Etterbeek",42.9,258.92,C,1
0414.371.429,Centre scolaire Notre-Dame de la Sagesse,3 - Enseignement du jour OU du soir,CS Notre Dame de la Sagesse,"Avenue Van Overbeke 10A, 1083 Ganshoren",21.01,120.58,C+,3
0414.872.166,Centre d'Enseignement Notre-Dame des Champs asbl,10 - Centres sportifs,C.S. Notre-Dame des Champs : Hall des sports ,"Rue Zeecrabbe 24, 1180 Uccle",22.99,102.7,B+,10
0478.379.452,SINT-GOEDELE BRUSSEL,4 - Enseignement du jour ET du soir,CVO Lethas Brussel,"Place Rouppe 16, 1000 Bruxelles",38.01,226.9,D,4
0949.383.342,Commission européenne,"13 - Ateliers, centres funéraires, dépôts, ...",DAV1,"Avenue du Bourget 1, 1140 Evere",51.6,315.23,E,13
0949.383.342,Commission européenne,1 - Services administratifs,DM24,"Rue Demot 24, 1040 Etterbeek",47.23,288.95,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,DM28,"Rue Demot 28, 1040 Etterbeek",49.6,298.98,C-,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,3 - Enseignement du jour OU du soir,Ecole Arc-en-Ciel,"Rue de l'Abondance 19, 1210 Saint-Josse-ten-Noode",14.45,83.8,B,3
0207.372.637,AC Watermael-Boitsfort,3 - Enseignement du jour OU du soir,"ECOLE COMMUNALE ""LA ROSERAIE""","Rue du Loutrier 47, 1170 Watermael-Boitsfort",34.46,195.22,D,3
0422.682.943,Pouvoir Organisateur de la Sainte-Famille à Watermael,3 - Enseignement du jour OU du soir,Ecole de la Sainte Famille,"Avenue Léopold Wiener 34, 1170 Watermael-Boitsfort",32.4,164.8,C-,3
0417.191.852,Institut Notre Dame de Joie ,3 - Enseignement du jour OU du soir,Ecole des 4 Vents,"Rue de Heembeek 60, 1120 Bruxelles",13.3,78.18,B,3
0414.213.952,Centre scolaire du Sacré-Coeur de Jette ASBL,3 - Enseignement du jour OU du soir,Ecole du Sacré-Coeur de Jette,"Avenue du Sacré-Coeur 4, 1090 Jette",19.72,112.18,C+,3
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,3 - Enseignement du jour OU du soir,Ecole fondamentale communale Henri Frick,"Rue Braemt 55, 1210 Saint-Josse-ten-Noode",30.48,173.28,D+,3
0408.140.168,Ecole Fondamentale Libre Saint-Augustin,3 - Enseignement du jour OU du soir,Ecole Fondamentale Libre Saint-Augustin,"Avenue Saint-Augustin 16, 1190 Forest",14.71,80.93,B,3
0408.183.027,Comité scolaire Sainte-Alène,3 - Enseignement du jour OU du soir,Ecole fondamentale libre Sainte-Alène,"Avenue Kersbeek 7, 1190 Forest",26.04,112.35,C+,3
0430.786.995,Centre scolaire Maria Assumpta,3 - Enseignement du jour OU du soir,Ecole Fondamentale Maria Assumpta,"Rue de Beyseghem 174, 1120 Bruxelles",16.92,99.37,B-,3
0406.466.721,Institut Notre Dame,4 - Enseignement du jour ET du soir,Ecole Industrielle Notre Dame (Jorez),"Rue Jorez 8, 1070 Anderlecht",22.95,131.56,C+,4
0430.290.614,ETABLISSEMENT JOIE DE VIVRE,3 - Enseignement du jour OU du soir,Ecole Joie de Vivre ,"Avenue Jean-Joseph Crocq 10, 1090 Jette",34.57,196.48,D,3
0419.753.840,La Cime asbl,3 - Enseignement du jour OU du soir,Ecole La Cime - asbl,"Rue de Mérode 398, 1190 Forest",20.86,121.27,C+,3
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,3 - Enseignement du jour OU du soir,Ecole Les Tournesols,"Rue Saint-François 19, 1210 Saint-Josse-ten-Noode",25.04,141.22,C,3
0207.372.637,AC Watermael-Boitsfort,3 - Enseignement du jour OU du soir,Ecole maternelle Les aigrettes,"Rue des Aigrettes 6, 1170 Watermael-Boitsfort",46.4,260.56,E,3
0421.029.686,Ecole maternelle et primaire Notre-Dame de la Consolation,3 - Enseignement du jour OU du soir,Ecole Notre-Dame de la Consolation ,"Rue du Bourdon 27, 1180 Uccle",20.85,120.24,C+,3
0409.817.080,Collège Saint-Hubert - asbl,3 - Enseignement du jour OU du soir,Ecole Saint-Hubert - Chaudron,"Avenue Joseph Chaudron 115, 1160 Auderghem",18.86,109.72,C+,3
0409.817.080,Collège Saint-Hubert - asbl,3 - Enseignement du jour OU du soir,Ecole Saint-Hubert - Van Horenbeeck,"Avenue Jean Van Horenbeeck 196, 1160 Auderghem",34.71,169.04,D+,3
0410.706.809,SPES,3 - Enseignement du jour OU du soir,Ecole Saint-Jean et Nicolas,"Rue d'Anethan 33, 1030 Schaerbeek",21.85,125.62,C,3
0413.310.268,Institut de la Sainte Famille d'Helmet ASBL,3 - Enseignement du jour OU du soir,Ecole Saint Joseph Evere,"Rue du Bon Pasteur 3, 1140 Evere",42.11,185.29,D+,3
0207.372.637,AC Watermael-Boitsfort,11 - Théatres et centres culturels,Ecuries,"Hondenberg 4, 1170 Watermael-Boitsfort",37.37,212.46,C-,11
0850.000.211,ENSAV - La Cambre,5 - Enseignement supérieur,ENSAV - La Cambre,"Abbaye de la Cambre 14, 1000 Bruxelles",32.35,187.26,C-,5
0850.000.211,ENSAV - La Cambre,3 - Enseignement du jour OU du soir,ENSAV - La Cambre,"Avenue Louise 425A, 1050 Bruxelles",26.75,159.02,C-,3
"0220.916.609,0850.000.211","Communauté française,ENSAV - La Cambre",1 - Services administratifs,ENSAV - La Cambre,"Avenue Franklin Roosevelt 27, 1050 Bruxelles",31.82,154.05,B-,1
"0850.000.211,0220.916.609","ENSAV - La Cambre,Communauté française",5 - Enseignement supérieur,ENSAV - La Cambre,"Abbaye de la Cambre 21, 1000 Bruxelles",36.55,210.49,D+,5
"0220.916.609,0850.000.211","Communauté française,ENSAV - La Cambre",5 - Enseignement supérieur,ENSAV - La Cambre,"Avenue Louise 427, 1050 Bruxelles",27.79,164.77,C,5
0435.187.629,EPFC,4 - Enseignement du jour ET du soir,EPFC,"Avenue de l'Astronomie 19, 1210 Saint-Josse-ten-Noode",43.03,259.69,E+,4
0214.596.464,bpost,1 - Services administratifs,Etterbeek Chasse,"Rue des Champs 49, 1040 Etterbeek",55.79,333.07,D+,1
0214.596.464,bpost,1 - Services administratifs,Etterbeek Tervueren,"Avenue de Tervueren 32, 1040 Etterbeek",30.35,192.07,C+,1
"0308.357.852,0208.312.646,0869.909.460,0308.358.050,0367.303.762","SPF Mobilité et Transports,Régie Des Bâtiments,Police Fédérale,SPF Emploi, Travail et Concertation sociale,SPF Santé publique, Sécurité de la Chaîne alimentaire et Environnement",1 - Services administratifs,Eurostation (Blerot),"Rue Ernest Blerot 1, 1070 Anderlecht",26.06,157.58,B-,1
"0367.303.762,0308.356.862","SPF Santé publique, Sécurité de la Chaîne alimentaire et Environnement,SPF Intérieur",1 - Services administratifs,Eurostation Instruction,"Place Victor Horta 40, 1060 Saint-Gilles",28.95,177.74,B-,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,10 - Centres sportifs,Euro Tennis Club Saint-Josse,"Avenue des Communautés 12, 1200 Woluwe-Saint-Lambert",33.13,204.27,B-,10
0214.596.464,bpost,1 - Services administratifs,Evere Haecht,"Chaussée de Haecht 1031J, 1140 Evere",45.24,283.18,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,F101,"Rue Froissart 101, 1040 Bruxelles",48.38,293.76,C-,1
0408.945.070,Centre de jour et centre d'hébergement pour adultes ayant une déficienc motrice ,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Facere,"Rue Meylemeersch 72, 1070 Anderlecht",37.96,220.79,C+,8
0308.357.159,SPF Finances,1 - Services administratifs,FOD Financiën Thesaurie,"Avenue des Arts 28, 1040 Bruxelles",43.97,263.17,C,1
0207.365.610,Administration communale d'Etterbeek,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Fondation JOURDAN BEAUPORT,"Chaussée de Wavre 541, 1040 Etterbeek",78.59,463.13,E+,8
0427.273.221,Fonds du Logement de la Région de Bruxelles-Capitale,1 - Services administratifs,Fonds du Logement de la Région Bruxelles-Capitale.,"Rue de l'Eté 73, 1050 Ixelles",38.05,223.88,C+,1
0214.596.464,bpost,1 - Services administratifs,Forest Saint-Denis,"Place Saint-Denis 14, 1190 Forest",74.36,450.72,E+,1
0949.383.342,Commission européenne,1 - Services administratifs,G--1,"Rue de Genève 1, 1140 Evere",44.93,277.97,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,G-12,"Rue de Genève 12, 1140 Evere",45.73,276.46,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,G--6,"Rue de Genève 6, 1140 Evere",42.97,261.85,C,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,"13 - Ateliers, centres funéraires, dépôts, ...",Garage communal,"Rue Saint-Josse 71, 1210 Saint-Josse-ten-Noode",59.34,343.98,E-,13
0207.365.610,Administration communale d'Etterbeek,1 - Services administratifs,Garage Communal,"Place du Quatre Août 13, 1040 Etterbeek",62.91,368.2,D,1
0207.372.637,AC Watermael-Boitsfort,11 - Théatres et centres culturels,Gare de Watermael,"Avenue des Taillis 4, 1170 Watermael-Boitsfort",49.38,275.13,D,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC De Kriekelaar,"Rue Gallait 86, 1030 Schaerbeek",35.3,205.63,C-,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC De Kroon,"Rue Jean-Baptiste Vandendriesch 19, 1082 Berchem-Sainte-Agathe",47.16,274.61,D,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC De Linde,"Rue de Cortenbach 7, 1130 Bruxelles",37.98,220.42,C-,11
0240.682.635,Commission communautaire flamande,10 - Centres sportifs,GC De Maalbeek,"Rue du Cornet 97, 1040 Etterbeek",34.71,201.33,B-,10
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC De Markten,"Rue du Vieux Marché aux Grains 5, 1000 Bruxelles",33.41,200.16,C-,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC Den Dam,"Chaussée de Wavre 1741, 1160 Auderghem",29.21,173.06,C,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC De Platoo,"Avenue du Panthéon 14, 1081 Koekelberg",64.53,374.13,E-,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC De Vaartkapoen,"Rue de l'Ecole 76, 1080 Molenbeek-Saint-Jean",44.68,262.48,D,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC De Zeyp,"Avenue Van Overbeke 164, 1083 Ganshoren",43.74,263.52,D,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC Elzenhof,"Avenue de la Couronne 12, 1050 Ixelles",32.51,188.54,C,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC Essegem,"Rue Léopold I 329, 1090 Jette",50.83,301.52,D-,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC Everna,"Rue Saint-Vincent 30, 1140 Evere",39.06,226,D+,11
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,GC Kontakt,"Avenue Orban 54, 1150 Woluwe-Saint-Pierre",26.84,155,C+,11
