N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe,# Catégorie
0411.070.657,Institut St-Vincent de Paul - Uccle Forest - Secondaire,3 - Enseignement du jour OU du soir,Institut Saint-Vincent de Paul ,"Place Jean Vander Elst 25, 1180 Uccle",22.62,132.55,C,3
0414.474.367,Institut Saint-Boniface-Parnasse - A.S.B.L.,3 - Enseignement du jour OU du soir,Institut St-Boniface - Goffart,"Rue Goffart 47, 1050 Ixelles",20.31,101.78,B-,3
0696.977.167,Iriscare,1 - Services administratifs,Iriscare,"Rue Belliard 71, 1040 Bruxelles",43.8,265.78,C,1
0214.596.464,bpost,1 - Services administratifs,Ixelles Wery,"Rue Wéry 1, 1050 Ixelles",40.33,244.76,C,1
0949.383.342,Commission européenne,1 - Services administratifs,J-27,"Rue Joseph II 27, 1000 Bruxelles",41.37,254.94,C,1
0949.383.342,Commission européenne,1 - Services administratifs,J-30,"Rue Joseph II 30, 1000 Bruxelles",73.61,455.55,E+,1
0949.383.342,Commission européenne,1 - Services administratifs,J-54,"Rue Joseph II 54, 1000 Bruxelles",42.91,262.74,C,1
0949.383.342,Commission européenne,1 - Services administratifs,J-59,"Rue Joseph II 59, 1000 Bruxelles",48.32,295.71,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,J-70,"Rue Joseph II 70, 1000 Bruxelles",45.94,278.85,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,J-79,"Rue Joseph II 79, 1000 Bruxelles",49.12,303.4,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,J-99,"Rue Joseph II 99, 1000 Bruxelles",39.45,241.66,C,1
0308.357.753,Service public fédéral Justice,1 - Services administratifs,Jan Jacobs,"Boulevard de Waterloo 80, 1000 Bruxelles",45.75,278.82,C-,1
0207.372.637,AC Watermael-Boitsfort,3 - Enseignement du jour OU du soir,"JARDIN D'ENFANTS COMMUNAL ""COLIBRI"" ","Place du Colibri 1, 1170 Watermael-Boitsfort",43.51,246.49,E+,3
0207.372.637,AC Watermael-Boitsfort,3 - Enseignement du jour OU du soir,"JARDINS D'ENFANTS COMMUNAUX ""NAIADES""","Avenue des Naïades 21A, 1170 Watermael-Boitsfort",57.8,326.03,F,3
0214.596.464,bpost,1 - Services administratifs,Jette Ferdinand Lenoir,"Rue Ferdinand Lenoir 29, 1090 Jette",55.55,351.56,D,1
0811.322.648,FoCI,11 - Théatres et centres culturels,Kaaitheater,"Quai des Péniches 2, 1000 Bruxelles",32.39,190.82,C,11
0214.596.464,bpost,1 - Services administratifs,Koekelberg Carriere,"Rue de la Carrière 21, 1081 Koekelberg",82.09,476.47,E,1
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL De Kollebloem,"Rue Général Fivé 38, 1040 Etterbeek",27.15,160.88,B-,2
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL Harlekijntje,"Rue Jean Tiebackx 13, 1090 Jette",20.67,122.43,B,2
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL Scheutje,"Chaussée de Ninove 339, 1070 Anderlecht",20.68,122.24,B,2
0406.633.304,Provincialaat der Broeders van Liefde,3 - Enseignement du jour OU du soir,Koninklijk Instituut Woluwe ,"Avenue Georges Henri 278, 1200 Woluwe-Saint-Lambert",29.96,156.47,C-,3
0949.383.342,Commission européenne,1 - Services administratifs,L102,"Rue de la Loi 102, 1040 Bruxelles",37.34,224.64,C+,1
0949.383.342,Commission européenne,1 - Services administratifs,L130,"Rue de la Loi 130, 1040 Bruxelles",56.28,341.85,D+,1
0949.383.342,Commission européenne,1 - Services administratifs,L-15,"Rue de la Loi 15, 1040 Bruxelles",46.24,284.07,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,L-41,"Rue de la Loi 41, 1040 Bruxelles",50.65,311.49,D+,1
0949.383.342,Commission européenne,1 - Services administratifs,L-56,"Rue de la Loi 56, 1040 Bruxelles",48.14,294.85,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,L-84-86,"Rue de la Loi 86, 1040 Bruxelles",62.31,379.15,D,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,11 - Théatres et centres culturels,la Jazz Station,"Chaussée de Louvain 193A, 1210 Saint-Josse-ten-Noode",20.6,120.71,B-,11
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",La Maison de la famille,"Rue de Liedekerke 112, 1210 Saint-Josse-ten-Noode",16.37,94.96,B+,8
0207.365.610,Administration communale d'Etterbeek,2 - Crèches,L'Angerie,"Avenue des Volontaires 128, 1040 Etterbeek",42.09,244.26,C,2
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,3 - Enseignement du jour OU du soir,La nouvelle école,"Place Saint-Josse 12, 1210 Saint-Josse-ten-Noode",34.14,198.86,D,3
0308.356.862,SPF Intérieur,1 - Services administratifs,"Laurentide - Conseil du Contentieux des Etrangers, Rue Gaucheret 92-94","Rue du Progrès 233, 1030 Schaerbeek",69.94,418.01,D-,1
0207.372.637,AC Watermael-Boitsfort,11 - Théatres et centres culturels,La Vènerie - Espace Delvaux,"Rue Gratès 3, 1170 Watermael-Boitsfort",32.87,176.21,C,11
0212.347.747,CPAS Molenbeek - Saint - Jean,1 - Services administratifs,Le centre,"Rue Alphonse Vandenpeereboom 14, 1080 Molenbeek-Saint-Jean",30.01,179.66,B-,1
